controllerToClosetCandies,


20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
20
,
2.92982
,
2.928904
,
2.92399
,
2.923941
,
2.919809
,
2.908251
,
2.90803
,
2.900604
,
2.882591
,
2.8716
,
2.859763
,
2.847112
,
2.832878
,
2.817864
,
2.802032
,
2.784953
,
2.766819
,
2.747967
,
2.727754
,
2.706703
,
2.684892
,
2.661864
,
2.637991
,
2.613487
,
2.587769
,
2.561157
,
2.53377
,
2.505051
,
2.475801
,
2.445884
,
2.414914
,
2.383353
,
2.350793
,
2.317441
,
2.283424
,
2.248739
,
2.213055
,
2.177032
,
2.140761
,
2.103387
,
2.065797
,
2.028089
,
1.989695
,
1.951073
,
1.912511
,
1.87344
,
1.834588
,
1.796251
,
1.757728
,
1.720285
,
1.682932
,
1.645951
,
1.610631
,
1.576252
,
1.543354
,
1.512505
,
1.483153
,
1.456301
,
1.431997
,
1.410625
,
1.392396
,
1.378161
,
1.367391
,
1.360607
,
1.359008
,
1.361353
,
1.368396
,
1.380156
,
1.397136
,
1.419253
,
1.446501
,
1.437188
,
1.436648
,
1.437749
,
1.441365
,
1.444069
,
1.446638
,
1.44887
,
1.451131
,
1.453549
,
1.456206
,
1.459069
,
1.462261
,
1.465498
,
1.469106
,
1.47333
,
1.477462
,
1.482018
,
1.486934
,
1.492226
,
1.497996
,
1.504269
,
1.510981
,
1.518228
,
1.526028
,
1.534179
,
1.543036
,
1.55232
,
1.561775
,
1.570804
,
1.573696
,
1.574407
,
1.57523
,
1.576208
,
1.576955
,
1.577532
,
1.578284
,
1.578648
,
1.578958
,
1.579591
,
1.579638
,
1.579673
,
1.579239
,
1.579049
,
1.578871
,
1.57873
,
1.578652
,
1.578403
,
1.578065
,
1.577835
,
1.57748
,
1.577071
,
1.576668
,
1.576262
,
1.576118
,
1.575624
,
1.575268
,
1.574969
,
1.574676
,
1.574351
,
1.574353
,
1.574065
,
1.573726
,
1.573363
,
1.572891
,
1.572326
,
1.571884
,
1.571149
,
1.570414
,
1.569304
,
1.567872
,
1.56683
,
1.564819
,
1.562387
,
1.559694
,
1.55689
,
1.554071
,
1.550843
,
1.547678
,
1.544227
,
1.540583
,
1.536992
,
1.533321
,
