controllerToClosetCandies,
,0.7830573
,0.7833416
,0.7837681
,0.7843155
,0.7843473
,0.7844077
,0.7840191
,0.783856
,0.7831415
,0.7821798
,0.7811066
,0.7801992
,0.7788191
,0.7772086
,0.7754751
,0.7731357
,0.7713194
,0.769031
,0.7662408
,0.7641492
,0.7615874
,0.7563917
,0.7534131
,0.750312
,0.7479195
,0.7450814
,0.7421201
,0.7394353
,0.736764
,0.7341424
,0.7320832
,0.7295597
,0.7270095
,0.7252164
,0.7223578
,0.7202435
,0.7183644
,0.7161468
,0.7142783
,0.7132284
,0.7111475
,0.7097139
,0.7085747
,0.7073385
,0.7072154
,0.7055419
,0.7050065
,0.7045004
,0.704102
,0.7036981
,0.7032712
,0.7029052
,0.7021903
,0.7016184
,0.7007146
,0.6996897
,0.698444
,0.6973481
,0.6957312
,0.6938949
,0.6921429
,0.6897225
,0.6873766
,0.6851355
,0.682402
,0.6794696
,0.6767924
,0.6733616
,0.670313
,0.6673777
,0.6642245
,0.6608334
,0.6573986
,0.6540905
,0.6507274
,0.6475958
,0.6443352
,0.6410562
,0.6382887
,0.6352938
,0.6323934
,0.6297544
,0.6276615
,0.6253476
,0.6241116
,0.6224921
,0.6215184
,0.6211723
,0.6206336
,0.6200288
,0.620652
,0.6210859
,0.6214922
,0.6224826
,0.6235332
,0.624732
,0.6262754
,0.6276152
,0.6285847
,0.6300812
,0.6313282
,0.6305215
,0.6314306
,0.6334666
,0.6317602
,0.6319702
,0.6317689
,0.6303457
,0.629301
,0.629278
,0.6278736
,0.6269945
,0.6273616
,0.626962
,0.6271069
,0.6280748
,0.6286607
,0.6288129
,0.6287858
,0.6291287
,0.6279603
,0.625999
,0.6235754
,0.6202191
,0.6155533
,0.6114551
,0.6050151
,0.5989882
,0.5922093
,0.5865837
,0.580821
,0.5752264
,0.5708458
,0.5674511
,0.5641958
,0.5617715
,0.5605302
,0.5610045
,0.5600995
,0.5588687
,0.5588786
,0.5589328
,0.5597298
,0.5609609
,0.5623136
,0.5642888
,0.5669083
,0.569682
,0.5730255
,0.5767171
,0.5803136
,0.5843828
,0.5886483
,0.5928599
,0.5972527
,0.6017972
,0.6058917
,0.6100186
,0.6142153
,0.6176296
,0.6209342
,0.6237434
,0.6261895
,0.6283756
,0.6305677
,0.6317655
,0.6327409
,0.6337647
,0.6332582
,0.6328551
,0.6320419
,0.6308109
,0.6297521
,0.6283838
